sourceId,latitude,longtitude,max(air_temperature P1D),max(relative_humidity P1D),max(wind_speed P1D),mean(air_temperature P1D),mean(relative_humidity P1D),mean(wind_speed P1D),sum(precipitation_amount P1D),day,month,year
SN69100,63.4597,10.9305,-2.3,83.0,4.1,-8.5,79.0,3.0,0.0,1,1,2010
SN69100,63.4597,10.9305,-13.4,84.0,4.6,-15.15,82.0,3.6,0.0,2,1,2010
SN69100,63.4597,10.9305,1.6,95.0,9.1,-8.15,88.0,5.1,2.0,3,1,2010
SN69100,63.4597,10.9305,0.4,94.0,12.0,-3.5,86.0,4.9,2.5,4,1,2010
SN69100,63.4597,10.9305,-9.7,81.0,5.9,-14.25,77.0,4.2,0.0,5,1,2010
SN69100,63.4597,10.9305,-21.0,81.0,5.2,-21.5,78.0,3.4,0.0,6,1,2010
SN69100,63.4597,10.9305,-17.8,81.0,5.1,-20.65,79.0,3.5,0.0,7,1,2010
SN69100,63.4597,10.9305,-20.2,80.0,4.7,-21.0,78.0,3.8,0.0,8,1,2010
SN69100,63.4597,10.9305,-16.5,80.0,5.2,-19.5,79.0,3.6,0.0,9,1,2010
SN69100,63.4597,10.9305,-8.5,82.0,5.1,-15.55,79.0,3.4,0.0,10,1,2010
SN69100,63.4597,10.9305,-2.2,97.0,3.5,-6.85,92.0,1.8,0.0,11,1,2010
SN69100,63.4597,10.9305,-3.1,95.0,3.2,-8.9,94.0,2.4,0.0,12,1,2010
SN69100,63.4597,10.9305,-12.3,93.0,3.0,-14.45,90.0,2.3,0.0,13,1,2010
SN69100,63.4597,10.9305,-15.4,90.0,3.0,-16.95,89.0,2.1,0.0,14,1,2010
SN69100,63.4597,10.9305,-0.6,95.0,4.6,-13.5,79.0,1.7,0.0,15,1,2010
SN69100,63.4597,10.9305,0.6,55.0,10.9,-2.95,50.0,4.3,0.0,16,1,2010
SN69100,63.4597,10.9305,0.1,58.0,9.8,-0.9,53.0,5.4,0.0,17,1,2010
SN69100,63.4597,10.9305,0.3,63.0,9.2,-1.7,56.0,5.6,0.0,18,1,2010
SN69100,63.4597,10.9305,-0.6,96.0,2.4,-3.05,86.0,1.4,0.55,19,1,2010
SN69100,63.4597,10.9305,-1.7,98.0,5.1,-4.6,86.0,3.4,0.05,20,1,2010
SN69100,63.4597,10.9305,-0.5,66.0,9.8,-2.8,54.0,5.3,0.0,21,1,2010
SN69100,63.4597,10.9305,-0.2,55.0,9.0,-2.0,51.0,4.7,0.0,22,1,2010
SN69100,63.4597,10.9305,-2.9,75.0,3.7,-4.4,64.0,2.1,0.0,23,1,2010
SN69100,63.4597,10.9305,-4.1,93.0,3.3,-5.45,80.0,2.2,0.25,24,1,2010
SN69100,63.4597,10.9305,1.1,98.0,4.2,-1.7,96.0,1.7,4.25,25,1,2010
SN69100,63.4597,10.9305,1.5499999999999998,99.0,4.2,0.0,96.0,2.1,1.2,26,1,2010
SN69100,63.4597,10.9305,5.5,92.0,11.9,1.3,87.0,5.2,11.2,27,1,2010
SN69100,63.4597,10.9305,1.3,96.0,7.5,0.6,93.0,3.8,4.5,28,1,2010
SN69100,63.4597,10.9305,-0.3,94.0,6.1,-3.35,84.0,3.6,3.0,29,1,2010
SN69100,63.4597,10.9305,-5.0,73.0,6.5,-9.8,68.0,4.4,0.0,30,1,2010
SN69100,63.4597,10.9305,-11.7,68.0,4.8,-13.35,64.0,3.6,0.0,31,1,2010
SN69100,63.4597,10.9305,-10.0,75.0,4.1,-13.15,69.0,3.1,0.0,1,2,2010
SN69100,63.4597,10.9305,-7.4,81.0,3.8,-12.45,75.0,2.8,0.0,2,2,2010
SN69100,63.4597,10.9305,-5.3,81.0,4.0,-10.7,74.0,2.6,0.0,3,2,2010
SN69100,63.4597,10.9305,-1.3,67.0,7.3,-4.8,61.0,5.2,0.0,4,2,2010
SN69100,63.4597,10.9305,1.6,79.0,8.5,-0.9,66.0,4.3,0.0,5,2,2010
SN69100,63.4597,10.9305,1.4,96.0,4.0,-0.5,89.0,1.8,1.3,6,2,2010
SN69100,63.4597,10.9305,2.3,96.0,9.3,-0.15,93.0,6.8,4.0,7,2,2010
SN69100,63.4597,10.9305,2.2,95.0,10.0,1.05,87.0,5.4,5.15,8,2,2010
SN69100,63.4597,10.9305,1.1,87.0,4.9,-4.15,82.0,2.7,0.65,9,2,2010
SN69100,63.4597,10.9305,-0.9,92.0,6.5,-10.05,87.0,3.7,2.0,10,2,2010
SN69100,63.4597,10.9305,2.3,97.0,8.3,-1.65,93.0,4.7,5.2,11,2,2010
SN69100,63.4597,10.9305,0.9,97.0,4.6,-1.85,91.0,3.1,0.7,12,2,2010
SN69100,63.4597,10.9305,3.1,97.0,6.0,-0.8,96.0,2.3,2.0,13,2,2010
SN69100,63.4597,10.9305,3.2,99.0,2.7,0.85,98.0,1.5,6.6,14,2,2010
SN69100,63.4597,10.9305,1.2,99.0,3.7,-0.7,95.0,2.9,0.1,15,2,2010
SN69100,63.4597,10.9305,-2.6,88.0,4.4,-3.55,84.0,3.1,0.0,16,2,2010
SN69100,63.4597,10.9305,-0.5,80.0,6.5,-2.7,63.0,4.4,0.0,17,2,2010
SN69100,63.4597,10.9305,-2.4,71.0,5.7,-4.75,62.0,3.7,0.0,18,2,2010
SN69100,63.4597,10.9305,-5.5,61.0,7.3,-7.5,56.0,5.4,0.0,19,2,2010
SN69100,63.4597,10.9305,-9.2,60.0,8.7,-10.15,51.0,6.6,0.05,20,2,2010
SN69100,63.4597,10.9305,-12.3,67.0,7.3,-13.25,57.0,5.3,0.05,21,2,2010
SN69100,63.4597,10.9305,-14.7,70.0,4.5,-17.85,61.0,3.0,0.0,22,2,2010
SN69100,63.4597,10.9305,-14.1,72.0,4.8,-20.8,65.0,3.1,0.0,23,2,2010
SN69100,63.4597,10.9305,-2.7,92.0,5.2,-15.8,81.0,3.0,1.0,24,2,2010
SN69100,63.4597,10.9305,-1.1,94.0,3.8,-8.05,74.0,2.5,1.0,25,2,2010
SN69100,63.4597,10.9305,-2.5,93.0,3.0,-5.85,83.0,1.8,0.7,26,2,2010
SN69100,63.4597,10.9305,-0.3,95.0,3.8,-5.25,84.0,2.1,0.7,27,2,2010
SN69100,63.4597,10.9305,-2.1,91.0,4.4,-7.300000000000001,84.0,2.2,0.0,28,2,2010
SN69100,63.4597,10.9305,-2.8,86.0,4.3,-7.4,79.0,2.6,0.0,1,3,2010
SN69100,63.4597,10.9305,0.5,92.0,8.1,-7.75,89.0,3.3,0.2,2,3,2010
SN69100,63.4597,10.9305,-1.0,93.0,4.7,-7.65,85.0,2.6,1.2,3,3,2010
SN69100,63.4597,10.9305,-4.1,92.0,5.3,-8.55,87.0,3.4,1.0,4,3,2010
SN69100,63.4597,10.9305,0.6,91.0,4.7,-7.75,68.0,3.1,0.0,5,3,2010
SN69100,63.4597,10.9305,-1.1,91.0,4.6,-7.449999999999999,77.0,3.1,0.0,6,3,2010
SN69100,63.4597,10.9305,6.4,95.0,8.6,-0.3,85.0,4.1,1.5,7,3,2010
SN69100,63.4597,10.9305,5.8,89.0,14.7,3.5500000000000003,77.0,8.6,1.95,8,3,2010
SN69100,63.4597,10.9305,3.9,92.0,13.1,1.8,85.0,8.0,2.6,9,3,2010
SN69100,63.4597,10.9305,4.9,89.0,10.0,3.6,86.0,7.9,4.25,10,3,2010
SN69100,63.4597,10.9305,5.6,95.0,8.7,3.85,90.0,5.2,7.300000000000001,11,3,2010
SN69100,63.4597,10.9305,0.6,97.0,9.5,0.3,95.0,4.2,4.25,12,3,2010
SN69100,63.4597,10.9305,0.3,95.0,10.9,-1.0,92.0,4.9,5.35,13,3,2010
SN69100,63.4597,10.9305,-0.1,94.0,7.4,-1.4500000000000002,91.0,3.7,4.6,14,3,2010
SN69100,63.4597,10.9305,-0.3,94.0,8.9,-1.75,89.0,5.9,5.9,15,3,2010
SN69100,63.4597,10.9305,0.5,94.0,6.5,-1.35,89.0,3.1,2.0,16,3,2010
SN69100,63.4597,10.9305,1.1,95.0,5.7,-0.4,92.0,2.1,3.45,17,3,2010
SN69100,63.4597,10.9305,4.7,97.0,2.9,1.3,93.0,1.7,4.75,18,3,2010
SN69100,63.4597,10.9305,8.8,98.0,3.9,2.95,91.0,2.4,5.25,19,3,2010
SN69100,63.4597,10.9305,3.8,99.0,3.4,2.3000000000000003,96.0,1.7,5.25,20,3,2010
SN69100,63.4597,10.9305,2.1,95.0,6.6,-1.3,86.0,2.4,2.5,21,3,2010
SN69100,63.4597,10.9305,5.3,95.0,4.0,-1.55,79.0,2.7,0.0,22,3,2010
SN69100,63.4597,10.9305,4.3,77.0,6.3,-0.45,63.0,3.5,0.0,23,3,2010
SN69100,63.4597,10.9305,3.2,89.0,3.4,0.7,81.0,1.5,0.0,24,3,2010
SN69100,63.4597,10.9305,8.5,89.0,4.1,2.45,76.0,2.3,0.0,25,3,2010
SN69100,63.4597,10.9305,5.9,96.0,3.0,3.8,90.0,1.8,0.1,26,3,2010
SN69100,63.4597,10.9305,4.6,98.0,2.3,2.45,98.0,0.9,9.45,27,3,2010
SN69100,63.4597,10.9305,2.2,96.0,3.4,0.4,82.0,1.3,5.949999999999999,28,3,2010
SN69100,63.4597,10.9305,2.2,95.0,4.1,-0.25,78.0,2.5,0.0,29,3,2010
SN69100,63.4597,10.9305,3.9,95.0,3.8,0.55,82.0,1.9,2.2,30,3,2010
SN69100,63.4597,10.9305,8.6,75.0,5.8,4.25,64.0,3.8,0.0,31,3,2010
SN69100,63.4597,10.9305,8.3,85.0,5.5,6.05,77.0,2.5,0.25,1,4,2010
SN69100,63.4597,10.9305,9.1,69.0,9.2,6.050000000000001,57.0,5.7,0.25,2,4,2010
SN69100,63.4597,10.9305,9.4,69.0,6.0,5.85,53.0,3.2,0.0,3,4,2010
SN69100,63.4597,10.9305,10.2,77.0,5.2,4.800000000000001,54.0,3.6,0.0,4,4,2010
SN69100,63.4597,10.9305,10.5,66.0,5.9,6.05,48.0,3.9,0.0,5,4,2010
SN69100,63.4597,10.9305,10.9,62.0,7.3,6.15,51.0,5.0,0.0,6,4,2010
SN69100,63.4597,10.9305,11.7,88.0,3.8,7.5,61.0,2.5,0.0,7,4,2010
SN69100,63.4597,10.9305,6.3,94.0,3.3,5.050000000000001,91.0,1.7,0.65,8,4,2010
SN69100,63.4597,10.9305,7.1,95.0,9.9,3.8,88.0,4.2,1.25,9,4,2010
SN69100,63.4597,10.9305,9.0,89.0,4.3,4.449999999999999,77.0,2.2,0.7,10,4,2010
SN69100,63.4597,10.9305,10.4,82.0,5.0,4.5,66.0,3.0,0.0,11,4,2010
SN69100,63.4597,10.9305,9.8,86.0,7.2,4.45,72.0,3.5,0.8,12,4,2010
SN69100,63.4597,10.9305,7.4,85.0,8.2,5.4,80.0,6.0,0.9,13,4,2010
SN69100,63.4597,10.9305,6.7,84.0,5.7,4.9,78.0,1.9,1.0,14,4,2010
SN69100,63.4597,10.9305,6.9,92.0,9.1,5.0,82.0,4.4,5.35,15,4,2010
SN69100,63.4597,10.9305,3.8,93.0,11.9,2.6,87.0,6.6,9.8,16,4,2010
SN69100,63.4597,10.9305,5.3,88.0,10.5,2.95,74.0,5.8,3.95,17,4,2010
SN69100,63.4597,10.9305,5.2,90.0,10.5,2.2,80.0,6.6,2.2,18,4,2010
SN69100,63.4597,10.9305,3.6,90.0,8.6,1.25,78.0,5.1,2.05,19,4,2010
SN69100,63.4597,10.9305,7.8,83.0,3.4,2.2,56.0,2.4,0.05,20,4,2010
SN69100,63.4597,10.9305,6.3,75.0,5.4,2.85,68.0,3.5,0.0,21,4,2010
SN69100,63.4597,10.9305,7.7,90.0,5.0,2.85,64.0,2.7,0.0,22,4,2010
SN69100,63.4597,10.9305,9.7,83.0,7.9,3.4,56.0,3.9,0.0,23,4,2010
SN69100,63.4597,10.9305,9.1,85.0,4.7,4.7,66.0,2.1,0.0,24,4,2010
SN69100,63.4597,10.9305,10.9,83.0,3.6,5.4,55.0,2.1,0.0,25,4,2010
SN69100,63.4597,10.9305,15.2,77.0,6.9,8.65,54.0,3.2,0.0,26,4,2010
SN69100,63.4597,10.9305,10.9,85.0,9.7,6.1,75.0,4.8,3.1,27,4,2010
SN69100,63.4597,10.9305,9.4,89.0,3.6,3.25,67.0,2.0,0.0,28,4,2010
SN69100,63.4597,10.9305,11.4,94.0,4.0,6.55,91.0,1.5,7.1,29,4,2010
SN69100,63.4597,10.9305,11.1,95.0,8.7,8.0,89.0,2.4,10.05,30,4,2010
SN69100,63.4597,10.9305,7.6,90.0,11.2,5.2,85.0,7.4,7.5,1,5,2010
SN69100,63.4597,10.9305,6.2,90.0,7.9,2.95,81.0,5.3,1.35,2,5,2010
SN69100,63.4597,10.9305,3.8,93.0,9.1,2.0,89.0,2.9,3.6,3,5,2010
SN69100,63.4597,10.9305,5.2,95.0,6.6,1.25,85.0,2.8,12.75,4,5,2010
SN69100,63.4597,10.9305,7.2,92.0,4.2,2.85,77.0,2.3,2.1,5,5,2010
SN69100,63.4597,10.9305,11.6,89.0,5.4,4.199999999999999,58.0,2.9,0.0,6,5,2010
SN69100,63.4597,10.9305,14.2,75.0,3.9,7.45,52.0,2.5,0.0,7,5,2010
SN69100,63.4597,10.9305,11.8,79.0,9.5,6.3,67.0,3.5,0.05,8,5,2010
SN69100,63.4597,10.9305,10.0,86.0,7.5,4.05,59.0,2.9,0.05,9,5,2010
SN69100,63.4597,10.9305,7.7,93.0,4.9,3.35,89.0,2.5,7.6,10,5,2010
SN69100,63.4597,10.9305,10.3,94.0,5.8,3.45,61.0,2.9,8.8,11,5,2010
SN69100,63.4597,10.9305,12.5,72.0,5.9,6.95,44.0,2.8,0.0,12,5,2010
SN69100,63.4597,10.9305,11.3,76.0,6.0,7.050000000000001,67.0,3.3,0.0,13,5,2010
SN69100,63.4597,10.9305,10.7,96.0,4.7,8.8,84.0,1.8,1.75,14,5,2010
SN69100,63.4597,10.9305,15.5,94.0,3.8,10.45,83.0,2.1,1.75,15,5,2010
SN69100,63.4597,10.9305,22.0,97.0,9.8,12.9,72.0,3.9,0.0,16,5,2010
SN69100,63.4597,10.9305,18.4,87.0,7.0,12.8,82.0,3.3,0.0,17,5,2010
SN69100,63.4597,10.9305,12.9,89.0,4.0,9.4,74.0,2.6,0.0,18,5,2010
SN69100,63.4597,10.9305,17.6,89.0,7.0,10.9,71.0,3.5,0.0,19,5,2010
SN69100,63.4597,10.9305,14.5,91.0,6.1,11.8,79.0,3.4,1.3,20,5,2010
SN69100,63.4597,10.9305,16.0,89.0,5.0,10.85,69.0,2.9,0.0,21,5,2010
SN69100,63.4597,10.9305,15.4,93.0,5.4,10.95,83.0,2.6,0.5,22,5,2010
SN69100,63.4597,10.9305,11.2,96.0,11.1,9.4,85.0,5.7,4.5,23,5,2010
SN69100,63.4597,10.9305,10.0,96.0,6.7,6.7,81.0,2.7,3.65,24,5,2010
SN69100,63.4597,10.9305,10.2,96.0,8.3,6.75,75.0,5.7,3.25,25,5,2010
SN69100,63.4597,10.9305,9.6,92.0,4.5,7.35,76.0,1.9,1.0,26,5,2010
SN69100,63.4597,10.9305,15.3,97.0,6.7,9.4,72.0,3.1,1.5,27,5,2010
SN69100,63.4597,10.9305,13.8,93.0,3.4,10.0,84.0,2.0,0.05,28,5,2010
SN69100,63.4597,10.9305,10.1,94.0,8.2,8.95,88.0,3.9,5.8,29,5,2010
SN69100,63.4597,10.9305,13.4,91.0,6.0,9.25,78.0,3.3,11.75,30,5,2010
SN69100,63.4597,10.9305,12.2,90.0,5.3,9.8,68.0,2.8,0.0,31,5,2010
SN69100,63.4597,10.9305,17.6,93.0,5.3,10.8,65.0,2.6,0.0,1,6,2010
SN69100,63.4597,10.9305,17.1,95.0,8.0,11.6,76.0,3.2,0.0,2,6,2010
SN69100,63.4597,10.9305,11.6,95.0,10.7,10.75,83.0,7.0,9.05,3,6,2010
SN69100,63.4597,10.9305,11.3,88.0,9.2,9.1,71.0,6.3,1.2,4,6,2010
SN69100,63.4597,10.9305,13.8,90.0,4.7,8.2,68.0,2.6,0.35,5,6,2010
SN69100,63.4597,10.9305,14.0,89.0,5.5,9.0,68.0,3.1,0.0,6,6,2010
SN69100,63.4597,10.9305,13.3,87.0,4.3,9.15,66.0,2.6,0.0,7,6,2010
SN69100,63.4597,10.9305,15.8,86.0,4.8,10.4,76.0,2.8,0.5,8,6,2010
SN69100,63.4597,10.9305,16.6,93.0,6.8,11.8,72.0,3.5,0.5,9,6,2010
SN69100,63.4597,10.9305,18.8,90.0,6.9,11.85,66.0,4.1,0.0,10,6,2010
SN69100,63.4597,10.9305,18.1,93.0,5.2,14.5,77.0,2.3,2.45,11,6,2010
SN69100,63.4597,10.9305,16.9,95.0,12.0,13.3,87.0,6.4,7.9,12,6,2010
SN69100,63.4597,10.9305,11.6,89.0,10.0,10.25,80.0,7.5,0.7,13,6,2010
SN69100,63.4597,10.9305,12.1,81.0,8.8,8.75,73.0,5.3,1.35,14,6,2010
SN69100,63.4597,10.9305,12.7,84.0,5.6,9.05,66.0,3.9,1.0,15,6,2010
SN69100,63.4597,10.9305,12.4,94.0,3.0,9.65,72.0,1.8,0.0,16,6,2010
SN69100,63.4597,10.9305,13.3,96.0,6.5,11.25,90.0,1.6,1.5,17,6,2010
SN69100,63.4597,10.9305,12.2,94.0,11.6,10.3,88.0,7.8,11.35,18,6,2010
SN69100,63.4597,10.9305,10.0,93.0,8.7,8.95,87.0,5.2,16.25,19,6,2010
SN69100,63.4597,10.9305,11.0,83.0,9.3,7.75,74.0,6.2,7.25,20,6,2010
SN69100,63.4597,10.9305,12.4,89.0,6.7,9.05,79.0,2.9,0.15,21,6,2010
SN69100,63.4597,10.9305,13.3,95.0,5.0,10.1,86.0,2.1,1.2,22,6,2010
SN69100,63.4597,10.9305,17.2,90.0,4.5,11.4,70.0,2.1,0.5,23,6,2010
SN69100,63.4597,10.9305,15.9,94.0,6.2,12.45,82.0,2.6,0.5,24,6,2010
SN69100,63.4597,10.9305,15.0,95.0,7.9,12.6,91.0,4.3,3.5,25,6,2010
SN69100,63.4597,10.9305,12.4,90.0,10.1,10.65,80.0,7.0,5.7,26,6,2010
SN69100,63.4597,10.9305,14.8,79.0,5.5,10.15,70.0,3.2,0.3,27,6,2010
SN69100,63.4597,10.9305,19.3,97.0,6.7,12.0,83.0,3.1,5.0,28,6,2010
SN69100,63.4597,10.9305,18.6,98.0,5.2,14.7,82.0,2.8,5.4,29,6,2010
SN69100,63.4597,10.9305,17.9,95.0,11.5,14.15,90.0,6.9,6.5,30,6,2010
SN69100,63.4597,10.9305,16.5,93.0,9.1,12.7,79.0,4.7,6.5,1,7,2010
SN69100,63.4597,10.9305,25.9,94.0,5.0,14.8,67.0,3.2,0.0,2,7,2010
SN69100,63.4597,10.9305,24.8,85.0,5.8,18.85,72.0,2.6,0.0,3,7,2010
SN69100,63.4597,10.9305,20.5,92.0,8.2,17.200000000000003,73.0,3.5,0.0,4,7,2010
SN69100,63.4597,10.9305,22.8,87.0,8.9,18.0,63.0,4.0,2.15,5,7,2010
SN69100,63.4597,10.9305,16.9,92.0,5.7,15.25,76.0,2.3,5.65,6,7,2010
SN69100,63.4597,10.9305,23.0,94.0,5.0,14.7,67.0,3.1,0.0,7,7,2010
SN69100,63.4597,10.9305,22.9,94.0,6.5,17.65,67.0,3.1,0.0,8,7,2010
SN69100,63.4597,10.9305,21.9,95.0,5.0,16.65,65.0,2.6,1.5,9,7,2010
SN69100,63.4597,10.9305,20.4,90.0,13.5,16.4,70.0,4.8,0.7,10,7,2010
SN69100,63.4597,10.9305,25.7,89.0,7.5,15.95,67.0,4.3,0.6,11,7,2010
SN69100,63.4597,10.9305,23.5,87.0,11.6,18.8,72.0,4.8,0.1,12,7,2010
SN69100,63.4597,10.9305,14.1,92.0,8.0,13.25,88.0,3.9,8.35,13,7,2010
SN69100,63.4597,10.9305,14.3,95.0,7.1,12.1,85.0,4.6,7.6,14,7,2010
SN69100,63.4597,10.9305,24.7,92.0,8.5,14.8,67.0,4.5,0.25,15,7,2010
SN69100,63.4597,10.9305,26.3,64.0,7.3,21.2,48.0,4.2,0.0,16,7,2010
SN69100,63.4597,10.9305,27.1,64.0,7.2,22.3,46.0,3.7,0.0,17,7,2010
SN69100,63.4597,10.9305,25.7,93.0,8.6,17.25,81.0,3.9,1.5,18,7,2010
SN69100,63.4597,10.9305,18.0,93.0,4.7,13.4,82.0,2.3,1.75,19,7,2010
SN69100,63.4597,10.9305,16.9,95.0,4.0,14.4,87.0,2.2,0.3,20,7,2010
SN69100,63.4597,10.9305,17.5,97.0,5.1,14.9,92.0,2.0,1.55,21,7,2010
SN69100,63.4597,10.9305,15.3,97.0,10.4,13.3,88.0,6.5,17.25,22,7,2010
SN69100,63.4597,10.9305,16.5,88.0,7.2,10.95,68.0,3.1,7.25,23,7,2010
SN69100,63.4597,10.9305,19.5,95.0,4.7,12.25,70.0,3.0,0.0,24,7,2010
SN69100,63.4597,10.9305,21.5,93.0,6.0,14.3,69.0,3.2,0.0,25,7,2010
SN69100,63.4597,10.9305,21.7,92.0,3.7,16.0,76.0,2.0,0.1,26,7,2010
SN69100,63.4597,10.9305,20.8,95.0,7.2,16.0,78.0,3.0,5.0,27,7,2010
SN69100,63.4597,10.9305,25.1,93.0,5.7,16.4,73.0,3.3,0.0,28,7,2010
SN69100,63.4597,10.9305,20.6,94.0,9.2,16.7,84.0,4.5,0.0,29,7,2010
SN69100,63.4597,10.9305,18.7,96.0,10.0,15.5,90.0,3.3,3.0,30,7,2010
SN69100,63.4597,10.9305,19.3,94.0,6.2,15.3,82.0,2.8,11.3,31,7,2010
SN69100,63.4597,10.9305,17.6,96.0,7.5,14.6,89.0,3.3,2.5,1,8,2010
SN69100,63.4597,10.9305,15.5,95.0,7.2,13.9,84.0,2.1,3.5,2,8,2010
SN69100,63.4597,10.9305,19.4,96.0,5.9,13.9,83.0,2.7,0.25,3,8,2010
SN69100,63.4597,10.9305,19.6,95.0,7.7,15.2,84.0,2.9,0.25,4,8,2010
SN69100,63.4597,10.9305,23.3,92.0,4.4,16.5,74.0,2.9,0.0,5,8,2010
SN69100,63.4597,10.9305,22.4,86.0,9.3,18.6,64.0,4.2,0.0,6,8,2010
SN69100,63.4597,10.9305,23.1,92.0,3.4,17.6,69.0,1.9,0.0,7,8,2010
SN69100,63.4597,10.9305,20.7,91.0,6.5,16.15,77.0,3.7,0.0,8,8,2010
SN69100,63.4597,10.9305,18.6,92.0,6.6,15.7,85.0,2.6,0.0,9,8,2010
SN69100,63.4597,10.9305,18.7,95.0,6.0,15.7,88.0,2.9,0.0,10,8,2010
SN69100,63.4597,10.9305,25.5,98.0,4.5,17.0,69.0,2.6,0.0,11,8,2010
SN69100,63.4597,10.9305,23.6,88.0,7.2,18.8,81.0,3.4,0.2,12,8,2010
SN69100,63.4597,10.9305,24.9,95.0,3.6,17.85,80.0,2.5,0.0,13,8,2010
SN69100,63.4597,10.9305,23.1,87.0,7.5,18.95,80.0,3.8,0.0,14,8,2010
SN69100,63.4597,10.9305,18.6,90.0,7.4,15.15,75.0,4.1,0.0,15,8,2010
SN69100,63.4597,10.9305,25.5,92.0,5.2,15.55,58.0,3.6,0.0,16,8,2010
SN69100,63.4597,10.9305,26.5,76.0,5.3,20.200000000000003,59.0,2.8,0.0,17,8,2010
SN69100,63.4597,10.9305,25.1,84.0,7.3,19.35,59.0,3.9,0.0,18,8,2010
SN69100,63.4597,10.9305,24.8,85.0,5.4,16.85,58.0,3.8,0.0,19,8,2010
SN69100,63.4597,10.9305,22.5,96.0,5.5,16.450000000000003,83.0,2.6,1.55,20,8,2010
SN69100,63.4597,10.9305,17.6,97.0,7.5,12.2,88.0,2.7,3.3,21,8,2010
SN69100,63.4597,10.9305,16.0,94.0,6.4,13.25,87.0,2.1,2.25,22,8,2010
SN69100,63.4597,10.9305,15.6,91.0,7.7,12.9,76.0,3.4,12.5,23,8,2010
SN69100,63.4597,10.9305,16.1,93.0,8.0,11.9,79.0,3.8,0.5,24,8,2010
SN69100,63.4597,10.9305,13.8,83.0,5.2,12.1,75.0,2.9,0.6000000000000001,25,8,2010
SN69100,63.4597,10.9305,14.8,90.0,6.1,11.25,79.0,2.6,0.0,26,8,2010
SN69100,63.4597,10.9305,15.3,95.0,4.2,9.85,78.0,3.0,0.0,27,8,2010
SN69100,63.4597,10.9305,15.9,94.0,4.8,10.75,83.0,2.6,1.25,28,8,2010
SN69100,63.4597,10.9305,15.4,93.0,3.8,11.4,76.0,2.3,1.35,29,8,2010
SN69100,63.4597,10.9305,15.0,96.0,4.3,9.9,83.0,2.2,0.6,30,8,2010
SN69100,63.4597,10.9305,11.2,97.0,6.3,10.2,89.0,2.9,15.1,31,8,2010
SN69100,63.4597,10.9305,13.0,97.0,7.6,9.25,81.0,4.5,7.45,1,9,2010
SN69100,63.4597,10.9305,12.0,96.0,3.7,9.2,82.0,2.0,0.25,2,9,2010
SN69100,63.4597,10.9305,12.2,96.0,4.0,8.600000000000001,84.0,2.2,0.25,3,9,2010
SN69100,63.4597,10.9305,13.8,96.0,3.4,8.2,82.0,2.1,0.15,4,9,2010
SN69100,63.4597,10.9305,15.6,96.0,4.7,9.1,82.0,2.6,0.0,5,9,2010
SN69100,63.4597,10.9305,16.5,96.0,4.3,10.55,85.0,2.4,0.0,6,9,2010
SN69100,63.4597,10.9305,23.3,95.0,4.4,13.3,70.0,2.1,0.0,7,9,2010
SN69100,63.4597,10.9305,20.8,68.0,6.9,16.7,53.0,4.1,0.0,8,9,2010
SN69100,63.4597,10.9305,18.7,65.0,8.1,16.25,55.0,4.9,0.0,9,9,2010
SN69100,63.4597,10.9305,17.9,75.0,7.1,14.9,54.0,4.1,0.0,10,9,2010
SN69100,63.4597,10.9305,19.2,81.0,6.2,15.35,63.0,4.0,0.0,11,9,2010
SN69100,63.4597,10.9305,17.1,95.0,4.3,14.75,83.0,1.7,4.0,12,9,2010
SN69100,63.4597,10.9305,17.8,95.0,4.7,12.75,76.0,2.5,1.2000000000000002,13,9,2010
SN69100,63.4597,10.9305,16.3,95.0,7.8,14.05,74.0,3.6,2.25,14,9,2010
SN69100,63.4597,10.9305,11.4,97.0,8.2,9.9,85.0,3.3,19.75,15,9,2010
SN69100,63.4597,10.9305,13.0,91.0,5.2,9.15,79.0,2.5,19.5,16,9,2010
SN69100,63.4597,10.9305,10.3,96.0,2.3,8.95,92.0,1.1,1.15,17,9,2010
SN69100,63.4597,10.9305,11.5,97.0,4.2,9.45,92.0,1.9,3.4,18,9,2010
SN69100,63.4597,10.9305,11.4,97.0,6.1,9.9,90.0,2.0,1.3,19,9,2010
SN69100,63.4597,10.9305,13.7,95.0,3.7,9.55,82.0,1.7,0.45,20,9,2010
SN69100,63.4597,10.9305,12.2,96.0,7.2,9.35,83.0,3.2,7.5,21,9,2010
SN69100,63.4597,10.9305,11.5,94.0,3.3,8.95,87.0,2.2,2.95,22,9,2010
SN69100,63.4597,10.9305,12.8,96.0,5.8,10.15,83.0,2.8,5.95,23,9,2010
SN69100,63.4597,10.9305,9.8,96.0,3.7,7.45,89.0,1.2,0.0,24,9,2010
SN69100,63.4597,10.9305,10.7,99.0,4.3,5.6,90.0,2.5,0.0,25,9,2010
SN69100,63.4597,10.9305,12.6,95.0,3.7,4.75,80.0,2.5,0.0,26,9,2010
SN69100,63.4597,10.9305,13.4,89.0,4.0,5.35,69.0,3.3,0.0,27,9,2010
SN69100,63.4597,10.9305,14.8,86.0,4.6,6.35,65.0,3.2,0.0,28,9,2010
SN69100,63.4597,10.9305,10.2,93.0,3.9,5.2,80.0,2.4,0.0,29,9,2010
SN69100,63.4597,10.9305,9.9,93.0,4.6,4.05,84.0,2.2,0.0,30,9,2010
